"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"connecting to portal initiatives .'","Support of the Ontario E-Learning strategy through a collaborative digital'","-13.5","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Support of the Ontario E-Learning strategy through a collaborative digital'","library initiative that positions Ontario on the global e-learning scene'","-13.5","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"library initiative that positions Ontario on the global e-learning scene'","Improved access and flexibility for all students at all ages and stages'","-13.5","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Improved access and flexibility for all students at all ages and stages'","supports Ontario’s lifelong learning strategy'","-13.5","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"supports Ontario’s lifelong learning strategy'","The opportunity to address emerging job skills shortages and facilitate school'","-13.5","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"The opportunity to address emerging job skills shortages and facilitate school'","to work and job to job transitions with the necessary information and'","-13.5","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"to work and job to job transitions with the necessary information and'","knowledge supports and tools'","-13.5","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"knowledge supports and tools'","ODL will be an incorporated non-profit organization governed by a Board of Directors elected'","-13.5","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"ODL will be an incorporated non-profit organization governed by a Board of Directors elected'","by a voting membership. The Board will include representatives from all stakeholders. We'","-13.5","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"by a voting membership. The Board will include representatives from all stakeholders. We'","envision a governance model similar to that prepared for the province’s ORION network.'","-13.5","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"envision a governance model similar to that prepared for the province’s ORION network.'","More information regarding the envisioned phasing, funding and resources required for the'","-13.5","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"More information regarding the envisioned phasing, funding and resources required for the'","ODL can be found in the appendixes.'","-13.5","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"ODL can be found in the appendixes.'","The Business Plan to be Developed'","1.25","6","11.04","12.0","0.96","0","1","0","0","0","0","0","0","0","1",""
"The Business Plan to be Developed'","The business plan which needs to be developed for the ODL must be a formal business plan'","1.62","-6","12.0","11.04","-0.96","0","0","0","0","0","0","0","0","0","1",""
"The business plan which needs to be developed for the ODL must be a formal business plan'","that documents and clearly communicates the ODL’s services, funding and governance'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"that documents and clearly communicates the ODL’s services, funding and governance'","structures, as well as implementation plans for 2004-2005, and operational plans for 20052007. The planning process must also secure the full commitment of all stakeholders, as'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"structures, as well as implementation plans for 2004-2005, and operational plans for 20052007. The planning process must also secure the full commitment of all stakeholders, as'","represented on the Steering Committee.'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"represented on the Steering Committee.'","Specifically, the business plan must include:'","-15.0","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Specifically, the business plan must include:'","how the ODL will be implemented, including the timeline'","-15.0","0","11.04","11.04","0.0","1","1","1","1","0","0","0","0","0","1",""
"how the ODL will be implemented, including the timeline'","the financial plan for the implementation'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the financial plan for the implementation'","the financial plan for the first 2 operating years, including capital and operating costs,'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the financial plan for the first 2 operating years, including capital and operating costs,'","revenues, etc.'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"revenues, etc.'","a financial forecast for the succeeding 2 operating years'","-15.0","0","11.04","11.04","0.0","1","1","1","1","0","0","0","0","0","1",""
"a financial forecast for the succeeding 2 operating years'","the services and products to be delivered by the ODL'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the services and products to be delivered by the ODL'","how the ODL will operate and be managed following the implementation'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"how the ODL will operate and be managed following the implementation'","who will be involved, and what their role/responsibility will be, for both the'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"who will be involved, and what their role/responsibility will be, for both the'","implementation and operational stages'","-15.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"implementation and operational stages'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 6'","-15.0","0","11.04","7.56","-3.48","0","0","0","1","0","0","0","0","0","1",""
"the marketing and communications plan for the ODL'","the commitment of all stakeholders to their responsibilities'","-5.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the commitment of all stakeholders to their responsibilities'","The process of developing this business plan must be extremely consultative to ensure that'","-5.0","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"The process of developing this business plan must be extremely consultative to ensure that'","all stakeholders are engaged in creating a synergistic ODL organization. The proposal must'","-5.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"all stakeholders are engaged in creating a synergistic ODL organization. The proposal must'","indicate how this consultative process will be approached.'","-5.0","0","11.04","11.04","0.0","0","0","1","1","0","0","0","0","0","1",""
"indicate how this consultative process will be approached.'","The business plan for the ODL must address significant issues. There are, for example,'","-5.0","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"The business plan for the ODL must address significant issues. There are, for example,'","enormous differences in the financial resources available to libraries mandated to provide'","-5.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"enormous differences in the financial resources available to libraries mandated to provide'","similar services. Some post-secondary and public libraries, particularly those in large urban'","-5.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"similar services. Some post-secondary and public libraries, particularly those in large urban'","areas, have the facilities, funding and technological infrastructure necessary to service their'","-5.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"areas, have the facilities, funding and technological infrastructure necessary to service their'","patrons with electronic services and resources. Many others, particularly in rural regions, do'","-5.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"patrons with electronic services and resources. Many others, particularly in rural regions, do'","not. The proposal must indicate how these issues will be approached.'","-5.0","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"not. The proposal must indicate how these issues will be approached.'","Milestones'","1.0","6","11.04","12.0","0.96","0","1","0","0","0","0","0","0","0","1",""
"Milestones'","1 A preliminary report will be issued during June 2003.'","0.42","12","12.0","11.04","-0.96","0","0","0","0","0","0","0","0","0","1",""
"1 A preliminary report will be issued during June 2003.'","2 It is expected that an Interim Report, suitable for distribution to the broader library'","-3.06","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"2 It is expected that an Interim Report, suitable for distribution to the broader library'","community will be available by August 1, 2003 and that there will be an opportunity'","-3.06","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"community will be available by August 1, 2003 and that there will be an opportunity'","for responses to be evaluated.'","-3.06","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"for responses to be evaluated.'","3 The business plan must be completed and approved by the ODL Steering Committee'","-3.06","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"3 The business plan must be completed and approved by the ODL Steering Committee'","no later than September 30, 2003.'","-3.06","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"no later than September 30, 2003.'","The firm/consultant or proposed team of consultants will be expected to work closely with'","1.61","-18","11.04","11.04","0.0","0","1","0","0","0","0","0","0","0","1",""
"The firm/consultant or proposed team of consultants will be expected to work closely with'","the ODL Steering Committee. Terms of reference for the Committee are in the appendix.'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the ODL Steering Committee. Terms of reference for the Committee are in the appendix.'","Given the consultative nature of this business planning process, the firm/consultant will also'","-8.7","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Given the consultative nature of this business planning process, the firm/consultant will also'","be expected to travel and communicate regularly with various stakeholders as well as with'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"be expected to travel and communicate regularly with various stakeholders as well as with'","electronic resource publishers/vendors.'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"electronic resource publishers/vendors.'","The proposal should include the following information:'","-8.7","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"The proposal should include the following information:'","a name of the firm/consultant'","-8.7","0","11.04","11.04","0.0","1","1","1","1","0","0","0","0","0","1",""
"a name of the firm/consultant'","b names of those individuals who will be engaged in this project, their specific'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"b names of those individuals who will be engaged in this project, their specific'","responsibilities on this project and relevant experience/qualifications'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"responsibilities on this project and relevant experience/qualifications'","c description of similar engagements that highlight the firm’s experience in business'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"c description of similar engagements that highlight the firm’s experience in business'","planning and building stakeholder commitment'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"planning and building stakeholder commitment'","d references with details of work completed for these references'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"d references with details of work completed for these references'","e description of the approach that will be used for completing the business plan,'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"e description of the approach that will be used for completing the business plan,'","including a timeline'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"including a timeline'","f cost to complete the study including estimated expenses i.e.: travel, etc. and payment'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"f cost to complete the study including estimated expenses i.e.: travel, etc. and payment'","structure'","-8.7","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"structure'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 7'","-8.7","0","11.04","7.56","-3.48","0","0","0","1","0","0","0","0","0","1",""
"Evaluation and Awarding of Contract'","The contract will be awarded to the bidder whose submission offers the best value; the contract will'","1.0","-6","12.0","11.04","-0.96","0","0","0","0","0","0","0","0","0","1",""
"The contract will be awarded to the bidder whose submission offers the best value; the contract will'","not necessarily be awarded to the lowest bidder. We reserve the right not to award the contract to'","-25.88","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"not necessarily be awarded to the lowest bidder. We reserve the right not to award the contract to'","any of the bidders responding to this RFP and we may seek further response.'","-25.88","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"any of the bidders responding to this RFP and we may seek further response.'","Specifically, proposals will be evaluated proposals according to the following criteria:'","-25.88","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Specifically, proposals will be evaluated proposals according to the following criteria:'","Quality of the proposal /approach outlined for undertaking the business planning process'","-25.88","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Quality of the proposal /approach outlined for undertaking the business planning process'","Demonstrated experience'","-25.88","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Demonstrated experience'","Cost, including expenses'","-25.88","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Cost, including expenses'","Timeline and projected completion date'","-25.88","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Timeline and projected completion date'","Other relevant factors as determined by the ODL Steering Committee'","-25.88","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Other relevant factors as determined by the ODL Steering Committee'","Questions regarding this RFP should be directed by e-mail only to Michael Ridley'","-25.88","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Questions regarding this RFP should be directed by e-mail only to Michael Ridley'","mridley@uoguelph.ca.mailto:mridley@uoguelph.ca'","-25.88","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"mridley@uoguelph.ca.mailto:mridley@uoguelph.ca'","Bidders are asked not to contact any other member of the ODL Catalyst Team or the ODL Steering'","-25.88","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Bidders are asked not to contact any other member of the ODL Catalyst Team or the ODL Steering'","Committee.'","-25.88","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Committee.'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 8'","-25.88","0","11.04","7.56","-3.48","0","1","0","1","0","0","0","0","0","1",""
"Phase I: Business Planning'","Timeline: March 2003 – September 2003'","-50.33","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Timeline: March 2003 – September 2003'","Funding Requested: ~$100,000 jointly funded by stakeholder groups and the provincial government.'","-50.33","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Funding Requested: ~$100,000 jointly funded by stakeholder groups and the provincial government.'","Result: The ODL business plan'","-50.33","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"Result: The ODL business plan'","The first phase will be to build the ODL business plan. This plan will clearly define the ODL’s services,'","-50.33","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"The first phase will be to build the ODL business plan. This plan will clearly define the ODL’s services,'","funding and governance structures, as well as implementation plans for 2003-2005. It will also secure'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"funding and governance structures, as well as implementation plans for 2003-2005. It will also secure'","the full commitment of all stakeholders and scope the operational plan for ODL for 2006 and beyond.'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"the full commitment of all stakeholders and scope the operational plan for ODL for 2006 and beyond.'","Given the number and diversity of stakeholders involved, the business planning process must be a fully'","-50.33","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"Given the number and diversity of stakeholders involved, the business planning process must be a fully'","consultative approach. To ensure that the planning results in a workable plan with the full commitment'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"consultative approach. To ensure that the planning results in a workable plan with the full commitment'","of all stakeholders it must have competent, dedicated staffing and monies for the travel and'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"of all stakeholders it must have competent, dedicated staffing and monies for the travel and'","communication components so critical in a consultative process.'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"communication components so critical in a consultative process.'","Phase II: Implementing and Transitioning'","-50.33","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"Phase II: Implementing and Transitioning'","Timeline: April 2004 – December 2006'","-50.33","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Timeline: April 2004 – December 2006'","Funding Requested: Funding from other states and provinces suggest that the ODL could receive'","-50.33","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Funding Requested: Funding from other states and provinces suggest that the ODL could receive'","funding of up to $50 Million over 3 years. Funding to be provided partnership of government, library'","-50.33","0","9.96","9.96","0.0","0","0","1","1","0","0","0","0","0","1",""
"funding of up to $50 Million over 3 years. Funding to be provided partnership of government, library'","stakeholders and other interested parties.'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"stakeholders and other interested parties.'","Result: The ODL is implemented and validated'","-50.33","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"Result: The ODL is implemented and validated'","The second phase will be to implement the ODL based on the business plan. This phase recognizes'","-50.33","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"The second phase will be to implement the ODL based on the business plan. This phase recognizes'","that for ODL to be optimally successful libraries must transition to a new way of doing business and'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"that for ODL to be optimally successful libraries must transition to a new way of doing business and'","providing services. The transition must occur while libraries continue to provide existing services and'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"providing services. The transition must occur while libraries continue to provide existing services and'","respond to current challenges. This implementation phase will funded by a partnership of government,'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"respond to current challenges. This implementation phase will funded by a partnership of government,'","library stakeholders and other interested parties as a means to quickly jumpstart the ODL.'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"library stakeholders and other interested parties as a means to quickly jumpstart the ODL.'","The seed money requested will allow libraries to realign their budgets and services as the infrastructure'","-50.33","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"The seed money requested will allow libraries to realign their budgets and services as the infrastructure'","and content of the ODL is created and secured. Some of the funding will be new money, although there'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"and content of the ODL is created and secured. Some of the funding will be new money, although there'","is every indication that existing budgets and methods of operating may be modified as a result of'","-50.33","0","9.96","9.96","0.0","0","0","1","1","0","0","0","0","0","1",""
"is every indication that existing budgets and methods of operating may be modified as a result of'","recommendations . During this phase the polices, procedures, governance structures and accountability'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"recommendations . During this phase the polices, procedures, governance structures and accountability'","mechanisms of the ODL will be put in place. Pilot projects will be initiated, evaluated and expanded.'","-50.33","0","9.96","9.96","0.0","0","0","1","1","0","0","0","0","0","1",""
"mechanisms of the ODL will be put in place. Pilot projects will be initiated, evaluated and expanded.'","Information resources will be identified, contracts for these resources will be negotiated and resources'","-50.33","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"Information resources will be identified, contracts for these resources will be negotiated and resources'","will be made deployed through the ODL. Regular evaluation during this phase will ensure the ODL is'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"will be made deployed through the ODL. Regular evaluation during this phase will ensure the ODL is'","achieving its objectives and is accountable to its key communities.'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"achieving its objectives and is accountable to its key communities.'","Phase III: Operating and Growing the ODL'","-50.33","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"Phase III: Operating and Growing the ODL'","Timeline: January 2007 -'","-50.33","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Timeline: January 2007 -'","Funding: $50 Million annually $35 Million requested from government'","-50.33","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Funding: $50 Million annually $35 Million requested from government'","Result: The ODL is fully operational and sustainable'","-50.33","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Result: The ODL is fully operational and sustainable'","In the third phase the ODL moves into the operational stage. Ontarians will experience the full benefits'","-50.33","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"In the third phase the ODL moves into the operational stage. Ontarians will experience the full benefits'","of the initiative and libraries will consolidate support around the ODL to grow resources and extend'","-50.33","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"of the initiative and libraries will consolidate support around the ODL to grow resources and extend'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 9'","-50.33","0","9.96","7.56","-2.4","0","0","0","1","0","0","0","0","0","1",""
"capabilities. The challenge is to secure resources sufficient to both sustain the original investments and'","to enhance the ODL.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"to enhance the ODL.'","The ongoing funding of the ODL will be based on a partnership model involving all the key participants'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"The ongoing funding of the ODL will be based on a partnership model involving all the key participants'","i.e. government, libraries, donors, public and private sectors. All participants i.e. beneficiaries are'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"i.e. government, libraries, donors, public and private sectors. All participants i.e. beneficiaries are'","expected to make financial contributions to the ODL. It is important in achieving the full impact of the'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"expected to make financial contributions to the ODL. It is important in achieving the full impact of the'","ODL on Ontario’s economy, society and learning support that all library sectors are participants'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"ODL on Ontario’s economy, society and learning support that all library sectors are participants'","university, colleges, public libraries and schools.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"university, colleges, public libraries and schools.'","The proposed funding model requires a continuing government investment, but also recognizes that as'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"The proposed funding model requires a continuing government investment, but also recognizes that as'","the ODL matures a growing share of ODL funding will come from libraries and non-governmental'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"the ODL matures a growing share of ODL funding will come from libraries and non-governmental'","sources. During the 3-year implementation phase 2004 – 2006 libraries will realign their budgets to'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"sources. During the 3-year implementation phase 2004 – 2006 libraries will realign their budgets to'","enable ongoing funding contributions to ODL. During the same period ODL must build the proposed'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"enable ongoing funding contributions to ODL. During the same period ODL must build the proposed'","endowment and secure public and private sector gifts and/or in-kind contributions. The following chart'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"endowment and secure public and private sector gifts and/or in-kind contributions. The following chart'","outlines the model. This model is based on these assumptions:'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"outlines the model. This model is based on these assumptions:'","1. that ODL expenditures will increase by 50% over a 10 year period'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"1. that ODL expenditures will increase by 50% over a 10 year period'","2. that government funding will decrease from 70% to 45% during that 10 year period'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2. that government funding will decrease from 70% to 45% during that 10 year period'","3. that library contributions, endowment and gifts/in-kind funding will increase from 30% to 55%'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"3. that library contributions, endowment and gifts/in-kind funding will increase from 30% to 55%'","during the same period'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"during the same period'","OVERVIEW OF ODL FUNDING MODEL'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"OVERVIEW OF ODL FUNDING MODEL'","Funding Source20072017'","-56.0","0","9.96","12.0","2.04","1","0","0","1","0","0","0","1","0","0",""
"Funding Source20072017'","Government$35M 70%$33.75M 45%'","-56.0","0","12.0","9.96","-2.04","0","0","0","1","0","0","1","1","1","0",""
"Government$35M 70%$33.75M 45%'","Libraries$10M 20%$22.5M 30%'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","1","1","1","0",""
"Libraries$10M 20%$22.5M 30%'","Endowment$4.5M 9%$15M 20%'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","1","1","1","0",""
"Endowment$4.5M 9%$15M 20%'","Gifts/In-Kind$0.5M 1%$3.75M 5%'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","1","1","1","0",""
"Gifts/In-Kind$0.5M 1%$3.75M 5%'","TOTAL ANNUAL$50M$75M'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","1","1","1","0",""
"TOTAL ANNUAL$50M$75M'","While the private sector will be invited to participate in the ODL through the endowment, gifts and inkind contributions, the ODL will also explore compatible commercial services which leverage the reach'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","1","0","0","0",""
"While the private sector will be invited to participate in the ODL through the endowment, gifts and inkind contributions, the ODL will also explore compatible commercial services which leverage the reach'","of the ODL and help to offset operating costs.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"of the ODL and help to offset operating costs.'","A $50M budget leverages the consortium buying power of the province’s libraries to secure the best'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"A $50M budget leverages the consortium buying power of the province’s libraries to secure the best'","prices for information resources, the widest accessibility and the most favourable contracts. A budget of'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"prices for information resources, the widest accessibility and the most favourable contracts. A budget of'","this nature will ensure a core digital collection of sufficient scope and coverage to address a substantial'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"this nature will ensure a core digital collection of sufficient scope and coverage to address a substantial'","amount of the wide and diverse information and learning needs of the citizens of Ontario an overview'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"amount of the wide and diverse information and learning needs of the citizens of Ontario an overview'","of the nature of the ODL digital collection is appended. The proposed ODL expenditures in 2006'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"of the nature of the ODL digital collection is appended. The proposed ODL expenditures in 2006'","represent an investment of $5.00 per citizen.'","-56.0","0","9.96","9.96","0.0","0","0","1","1","0","0","0","0","0","1",""
"represent an investment of $5.00 per citizen.'","It is important to recognize that every new dollar per citizen invested in the Ontario Digital Library has a'","-56.0","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"It is important to recognize that every new dollar per citizen invested in the Ontario Digital Library has a'","double benefit: it supports a province-wide library of high quality information resources and it'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"double benefit: it supports a province-wide library of high quality information resources and it'","strengthens every local library in Ontario by allowing them to reinvest existing dollars in new resources'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"strengthens every local library in Ontario by allowing them to reinvest existing dollars in new resources'","that enhance local services. This multiplier means that for every dollar invested in ODL the return'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"that enhance local services. This multiplier means that for every dollar invested in ODL the return'","on investment is worth $2 of value for Ontario.'","-56.0","0","9.96","9.96","0.0","0","0","1","1","0","0","0","0","0","1",""
"on investment is worth $2 of value for Ontario.'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 10'","-56.0","0","9.96","7.56","-2.4","1","1","0","1","0","0","0","0","0","1",""
"Appendix B: ODL Steering Committee Terms of Reference'","1. Preamble'","1.0","-6","12.0","9.96","-2.04","0","0","0","0","1","0","0","0","0","1",""
"1. Preamble'","Implementation of the Ontario Digital Library ODL requires a detailed business plan to be developed'","-15.08","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"Implementation of the Ontario Digital Library ODL requires a detailed business plan to be developed'","and supported by its diverse stakeholder communities see: www.odl.on.ca. The business'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"and supported by its diverse stakeholder communities see: www.odl.on.ca. The business'","development planning and commitment process will be overseen by a Steering Committee, who are'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"development planning and commitment process will be overseen by a Steering Committee, who are'","accountable to potential ODL funders including the Province of Ontario.'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"accountable to potential ODL funders including the Province of Ontario.'","2. Terms of Reference'","-15.08","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
