text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
"o Marinate chicken in peri-peri sauce, olive oil, salt, and pepper for at least 1 hour.","o Marinate chicken in peri-peri sauce, olive oil, salt, and pepper for at least 1 hour.",o Preheat oven to 400°F 200°C.,o Preheat oven to 400°F (200°C).,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Preheat oven to 400°F 200°C.,o Preheat oven to 400°F (200°C).,o Arrange chicken on a baking sheet and roast for 25-30 minutes until cooked,o Arrange chicken on a baking sheet and roast for 25-30 minutes until cooked,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Arrange chicken on a baking sheet and roast for 25-30 minutes until cooked,o Arrange chicken on a baking sheet and roast for 25-30 minutes until cooked,through.,through.,0.85,18,0,0,0,10.02,12,1.98,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
through.,through.,o Serve warm.,o Serve warm.,0.76,-18,0,0,0,12,10.02,-1.98,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
o Serve warm.,o Serve warm.,Pico de Gallo,Pico de Gallo,4.18,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Pico de Gallo,Pico de Gallo,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
o 4 tomatoes,o 4 tomatoes,o 1 small onion,o 1 small onion,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 small onion,o 1 small onion,o 1 jalapeño,o 1 jalapeño,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 jalapeño,o 1 jalapeño,o 1/4 cup cilantro,o 1/4 cup cilantro,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup cilantro,o 1/4 cup cilantro,o 1 lime,o 1 lime,1.02,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 lime,o 1 lime,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,"o Dice tomatoes, onion, and jalapeño.","o Dice tomatoes, onion, and jalapeño.",0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
"o Dice tomatoes, onion, and jalapeño.","o Dice tomatoes, onion, and jalapeño.",o Chop cilantro.,o Chop cilantro.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Chop cilantro.,o Chop cilantro.,o Combine all ingredients in a bowl.,o Combine all ingredients in a bowl.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Combine all ingredients in a bowl.,o Combine all ingredients in a bowl.,o Squeeze lime juice over the mixture and add salt.,o Squeeze lime juice over the mixture and add salt.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Squeeze lime juice over the mixture and add salt.,o Squeeze lime juice over the mixture and add salt.,o Mix well and serve.,o Mix well and serve.,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Mix well and serve.,o Mix well and serve.,Pimientos de Padrón,Pimientos de Padrón,4.17,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Pimientos de Padrón,Pimientos de Padrón,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 pound Padrón peppers,o 1 pound Padrón peppers,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 pound Padrón peppers,o 1 pound Padrón peppers,o 2 tablespoons olive oil,o 2 tablespoons olive oil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 tablespoons olive oil,o 2 tablespoons olive oil,o 1 teaspoon sea salt,o 1 teaspoon sea salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon sea salt,o 1 teaspoon sea salt,Instructions :,Instructions:,0.87,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Heat olive oil in a pan.,o Heat olive oil in a pan.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Heat olive oil in a pan.,o Heat olive oil in a pan.,o Add Padrón peppers and sauté until blistered and tender.,o Add Padrón peppers and sauté until blistered and tender.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Add Padrón peppers and sauté until blistered and tender.,o Add Padrón peppers and sauté until blistered and tender.,o Sprinkle with sea salt and serve warm.,o Sprinkle with sea salt and serve warm.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Sprinkle with sea salt and serve warm.,o Sprinkle with sea salt and serve warm.,Plantain Chips,Plantain Chips,4.18,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Plantain Chips,Plantain Chips,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 2 green plantains,o 2 green plantains,0.76,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 2 green plantains,o 2 green plantains,o 1 cup vegetable oil,o 1 cup vegetable oil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 cup vegetable oil,o 1 cup vegetable oil,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Peel and slice plantains thinly.,o Peel and slice plantains thinly.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Peel and slice plantains thinly.,o Peel and slice plantains thinly.,o Heat oil in a pan and fry plantain slices until crispy.,o Heat oil in a pan and fry plantain slices until crispy.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Heat oil in a pan and fry plantain slices until crispy.,o Heat oil in a pan and fry plantain slices until crispy.,o Drain on paper towels and sprinkle with salt.,o Drain on paper towels and sprinkle with salt.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Drain on paper towels and sprinkle with salt.,o Drain on paper towels and sprinkle with salt.,o Serve warm.,o Serve warm.,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve warm.,o Serve warm.,Polenta,Polenta,0.85,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Polenta,Polenta,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 cup cornmeal,o 1 cup cornmeal,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 cup cornmeal,o 1 cup cornmeal,o 4 cups water,o 4 cups water,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 4 cups water,o 4 cups water,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,o 2 tablespoons butter,o 2 tablespoons butter,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 tablespoons butter,o 2 tablespoons butter,o 1/2 cup grated Parmesan cheese,o 1/2 cup grated Parmesan cheese,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup grated Parmesan cheese,o 1/2 cup grated Parmesan cheese,Instructions :,Instructions:,0.87,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Bring water and salt to a boil.,o Bring water and salt to a boil.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Bring water and salt to a boil.,o Bring water and salt to a boil.,o Gradually whisk in cornmeal.,o Gradually whisk in cornmeal.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Gradually whisk in cornmeal.,o Gradually whisk in cornmeal.,"o Reduce heat and cook, stirring constantly, until thickened about 30 minutes.","o Reduce heat and cook, stirring constantly, until thickened (about 30 minutes).",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Stir in butter and Parmesan cheese.,o Stir in butter and Parmesan cheese.,o Serve warm.,o Serve warm.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve warm.,o Serve warm.,Potato Salad,Potato Salad,4.17,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Potato Salad,Potato Salad,Ingredients :,Ingredients:,0.62,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 4 potatoes,o 4 potatoes,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 4 potatoes,o 4 potatoes,o 2 eggs,o 2 eggs,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 eggs,o 2 eggs,o 1 small onion,o 1 small onion,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 small onion,o 1 small onion,o 1/2 cup mayonnaise,o 1/2 cup mayonnaise,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup mayonnaise,o 1/2 cup mayonnaise,o 2 tablespoons mustard,o 2 tablespoons mustard,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 tablespoons mustard,o 2 tablespoons mustard,o 1 tablespoon vinegar,o 1 tablespoon vinegar,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 tablespoon vinegar,o 1 tablespoon vinegar,o 1 teaspoon salt,o 1 teaspoon salt,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,o 1/2 teaspoon pepper,o 1/2 teaspoon pepper,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 teaspoon pepper,o 1/2 teaspoon pepper,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,"o Boil potatoes until tender, then dice.","o Boil potatoes until tender, then dice.",0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
"o Boil potatoes until tender, then dice.","o Boil potatoes until tender, then dice.","o Hard-boil eggs, then chop.","o Hard-boil eggs, then chop.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Hard-boil eggs, then chop.","o Hard-boil eggs, then chop.","o Mix potatoes, eggs, diced onion, mayonnaise, mustard, vinegar, salt, and pepper.","o Mix potatoes, eggs, diced onion, mayonnaise, mustard, vinegar, salt, and pepper.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Mix potatoes, eggs, diced onion, mayonnaise, mustard, vinegar, salt, and pepper.","o Mix potatoes, eggs, diced onion, mayonnaise, mustard, vinegar, salt, and pepper.",o Chill for at least 1 hour before serving.,o Chill for at least 1 hour before serving.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Chill for at least 1 hour before serving.,o Chill for at least 1 hour before serving.,Pretzels,Pretzels,4.19,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Pretzels,Pretzels,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 2 1/4 teaspoons active dry yeast,o 2 1/4 teaspoons active dry yeast,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 2 1/4 teaspoons active dry yeast,o 2 1/4 teaspoons active dry yeast,o 1 teaspoon sugar,o 1 teaspoon sugar,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon sugar,o 1 teaspoon sugar,o 1 cup warm water,o 1 cup warm water,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 cup warm water,o 1 cup warm water,o 3 cups flour,o 3 cups flour,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 3 cups flour,o 3 cups flour,o 1 teaspoon salt,o 1 teaspoon salt,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,o 1/4 cup baking soda,o 1/4 cup baking soda,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup baking soda,o 1/4 cup baking soda,o 1 egg,o 1 egg,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 egg,o 1 egg,o Coarse salt,o Coarse salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o Coarse salt,o Coarse salt,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,"o Dissolve yeast and sugar in warm water, let sit until foamy.","o Dissolve yeast and sugar in warm water, let sit until foamy.",0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
"o Dissolve yeast and sugar in warm water, let sit until foamy.","o Dissolve yeast and sugar in warm water, let sit until foamy.","o Mix flour and salt in a bowl, then add yeast mixture.","o Mix flour and salt in a bowl, then add yeast mixture.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Mix flour and salt in a bowl, then add yeast mixture.","o Mix flour and salt in a bowl, then add yeast mixture.","o Knead until smooth, then let rise until doubled.","o Knead until smooth, then let rise until doubled.",1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Knead until smooth, then let rise until doubled.","o Knead until smooth, then let rise until doubled.","o Divide dough into pieces and roll into ropes, then shape into pretzels.","o Divide dough into pieces and roll into ropes, then shape into pretzels.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Divide dough into pieces and roll into ropes, then shape into pretzels.","o Divide dough into pieces and roll into ropes, then shape into pretzels.",o Boil water with baking soda and dip pretzels in the solution.,o Boil water with baking soda and dip pretzels in the solution.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Boil water with baking soda and dip pretzels in the solution.,o Boil water with baking soda and dip pretzels in the solution.,"o Place on a baking sheet, brush with beaten egg, and sprinkle with coarse salt.","o Place on a baking sheet, brush with beaten egg, and sprinkle with coarse salt.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Place on a baking sheet, brush with beaten egg, and sprinkle with coarse salt.","o Place on a baking sheet, brush with beaten egg, and sprinkle with coarse salt.",o Bake at 450°F 230°C for 12-15 minutes until golden.,o Bake at 450°F (230°C) for 12-15 minutes until golden.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Bake at 450°F 230°C for 12-15 minutes until golden.,o Bake at 450°F (230°C) for 12-15 minutes until golden.,o Serve warm.,o Serve warm.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve warm.,o Serve warm.,Pulao,Pulao,4.17,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Pulao,Pulao,Ingredients :,Ingredients:,0.61,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 cup basmati rice,o 1 cup basmati rice,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 cup basmati rice,o 1 cup basmati rice,o 2 cups water,o 2 cups water,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 cups water,o 2 cups water,o 1 small onion,o 1 small onion,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 carrot,o 1 carrot,o 1/2 cup peas,o 1/2 cup peas,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup peas,o 1/2 cup peas,o 1 teaspoon cumin,o 1 teaspoon cumin,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon cumin,o 1 teaspoon cumin,o 1 teaspoon coriander,o 1 teaspoon coriander,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon coriander,o 1 teaspoon coriander,o 1 teaspoon turmeric,o 1 teaspoon turmeric,1.02,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon turmeric,o 1 teaspoon turmeric,o 1 teaspoon garam masala,o 1 teaspoon garam masala,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon garam masala,o 1 teaspoon garam masala,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,o 2 tablespoons oil,o 2 tablespoons oil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 tablespoons oil,o 2 tablespoons oil,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Rinse rice and soak in water for 30 minutes.,o Rinse rice and soak in water for 30 minutes.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Rinse rice and soak in water for 30 minutes.,o Rinse rice and soak in water for 30 minutes.,o Heat oil in a pan and sauté diced onion until translucent.,o Heat oil in a pan and sauté diced onion until translucent.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Heat oil in a pan and sauté diced onion until translucent.,o Heat oil in a pan and sauté diced onion until translucent.,"o Add diced carrot, peas, cumin, coriander, turmeric, and garam masala, cook for 1","o Add diced carrot, peas, cumin, coriander, turmeric, and garam masala, cook for 1",1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Add diced carrot, peas, cumin, coriander, turmeric, and garam masala, cook for 1","o Add diced carrot, peas, cumin, coriander, turmeric, and garam masala, cook for 1",minute.,minute.,0.85,18,0,0,0,10.02,12,1.98,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
minute.,minute.,"o Drain rice and add to the pan, stir to coat with spices.","o Drain rice and add to the pan, stir to coat with spices.",0.75,-18,0,0,0,12,10.02,-1.98,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
"o Drain rice and add to the pan, stir to coat with spices.","o Drain rice and add to the pan, stir to coat with spices.",o Add water and bring to a boil.,o Add water and bring to a boil.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Add water and bring to a boil.,o Add water and bring to a boil.,"o Reduce heat, cover, and simmer until rice is tender and water is absorbed.","o Reduce heat, cover, and simmer until rice is tender and water is absorbed.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Reduce heat, cover, and simmer until rice is tender and water is absorbed.","o Reduce heat, cover, and simmer until rice is tender and water is absorbed.",o Add salt to taste and serve.,o Add salt to taste and serve.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Add salt to taste and serve.,o Add salt to taste and serve.,Quesadillas,Quesadillas,4.19,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Quesadillas,Quesadillas,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 4 flour tortillas,o 4 flour tortillas,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 4 flour tortillas,o 4 flour tortillas,o 2 cups shredded cheese,o 2 cups shredded cheese,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 cups shredded cheese,o 2 cups shredded cheese,o 1/2 cup diced cooked chicken optional,o 1/2 cup diced cooked chicken (optional),1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup diced cooked chicken optional,o 1/2 cup diced cooked chicken (optional),o 1/4 cup chopped cilantro,o 1/4 cup chopped cilantro,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup chopped cilantro,o 1/4 cup chopped cilantro,o 1 tablespoon vegetable oil,o 1 tablespoon vegetable oil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 tablespoon vegetable oil,o 1 tablespoon vegetable oil,Instructions :,Instructions:,0.87,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Heat oil in a pan.,o Heat oil in a pan.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Heat oil in a pan.,o Heat oil in a pan.,"o Place a tortilla in the pan and sprinkle with cheese, chicken, and cilantro.","o Place a tortilla in the pan and sprinkle with cheese, chicken, and cilantro.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Place a tortilla in the pan and sprinkle with cheese, chicken, and cilantro.","o Place a tortilla in the pan and sprinkle with cheese, chicken, and cilantro.",o Top with another tortilla.,o Top with another tortilla.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Top with another tortilla.,o Top with another tortilla.,"o Cook until cheese is melted and tortilla is golden, then flip and cook the other","o Cook until cheese is melted and tortilla is golden, then flip and cook the other",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
